,GANomaly,DeepSAD,REPEN,DevNet,PReNet,FEAWAD,XGBOD
"('35_SpamBase', 0.05, 2)",,,,,,,
"('35_SpamBase', 0.05, 3)",,,,,,,
"('35_SpamBase', 0.1, 1)",,,,,,,
"('35_SpamBase', 0.1, 2)",,,,,,,
"('35_SpamBase', 0.1, 3)",,,,,,,
"('35_SpamBase', 0.25, 1)",,,,,,,
"('35_SpamBase', 0.25, 2)",,,,,,,
"('35_SpamBase', 0.25, 3)",,,,,,,
"('35_SpamBase', 0.5, 1)",,,,,,,
"('35_SpamBase', 0.5, 2)",,,,,,,
"('35_SpamBase', 0.5, 3)",,,,,,,
"('35_SpamBase', 0.75, 1)",,,,,,,
"('35_SpamBase', 0.75, 2)",,,,,,,
"('35_SpamBase', 0.75, 3)",,,,,,,
"('35_SpamBase', 1.0, 1)",,,,,,,
"('35_SpamBase', 1.0, 2)",,,,,,,
"('35_SpamBase', 1.0, 3)",,,,,,,
"('44_Wilt', 0.0, 1)",,,,,,,
"('44_Wilt', 0.0, 2)",,,,,,,
"('44_Wilt', 0.0, 3)",,,,,,,
"('44_Wilt', 0.01, 1)",,,,,,,
"('44_Wilt', 0.01, 2)",,,,,,,
"('44_Wilt', 0.01, 3)",,,,,,,
"('44_Wilt', 0.05, 1)",,,,,,,
"('44_Wilt', 0.05, 2)",,,,,,,
"('44_Wilt', 0.05, 3)",,,,,,,
"('44_Wilt', 0.1, 1)",,,,,,,
"('44_Wilt', 0.1, 2)",,,,,,,
"('44_Wilt', 0.1, 3)",,,,,,,
"('44_Wilt', 0.25, 1)",,,,,,,
"('44_Wilt', 0.25, 2)",,,,,,,
"('44_Wilt', 0.25, 3)",,,,,,,
"('44_Wilt', 0.5, 1)",,,,,,,
"('44_Wilt', 0.5, 2)",,,,,,,
"('44_Wilt', 0.5, 3)",,,,,,,
"('44_Wilt', 0.75, 1)",,,,,,,
"('44_Wilt', 0.75, 2)",,,,,,,
"('44_Wilt', 0.75, 3)",,,,,,,
"('44_Wilt', 1.0, 1)",,,,,,,
"('44_Wilt', 1.0, 2)",,,,,,,
"('44_Wilt', 1.0, 3)",,,,,,,
"('SVHN_9', 0.0, 1)",,,,,,,
"('SVHN_9', 0.0, 2)",,,,,,,
"('SVHN_9', 0.0, 3)",,,,,,,
"('SVHN_9', 0.01, 1)",,,,,,,
"('SVHN_9', 0.01, 2)",,,,,,,
"('SVHN_9', 0.01, 3)",,,,,,,
"('SVHN_9', 0.05, 1)",,,,,,,
"('SVHN_9', 0.05, 2)",,,,,,,
"('SVHN_9', 0.05, 3)",,,,,,,
"('SVHN_9', 0.1, 1)",,,,,,,
"('SVHN_9', 0.1, 2)",,,,,,,
"('SVHN_9', 0.1, 3)",,,,,,,
"('SVHN_9', 0.25, 1)",,,,,,,
"('SVHN_9', 0.25, 2)",,,,,,,
"('SVHN_9', 0.25, 3)",,,,,,,
"('SVHN_9', 0.5, 1)",,,,,,,
"('SVHN_9', 0.5, 2)",,,,,,,
"('SVHN_9', 0.5, 3)",,,,,,,
"('SVHN_9', 0.75, 1)",,,,,,,
"('SVHN_9', 0.75, 2)",,,,,,,
"('SVHN_9', 0.75, 3)",,,,,,,
"('SVHN_9', 1.0, 1)",,,,,,,
"('SVHN_9', 1.0, 2)",,,,,,,
"('SVHN_9', 1.0, 3)",,,,,,,
"('SVHN_0', 0.0, 1)",,,,,,,
"('SVHN_0', 0.0, 2)",,,,,,,
"('SVHN_0', 0.0, 3)",,,,,,,
"('SVHN_0', 0.01, 1)",,,,,,,
"('SVHN_0', 0.01, 2)",,,,,,,
"('SVHN_0', 0.01, 3)",,,,,,,
"('SVHN_0', 0.05, 1)",,,,,,,
"('SVHN_0', 0.05, 2)",,,,,,,
"('SVHN_0', 0.05, 3)",,,,,,,
"('SVHN_0', 0.1, 1)",,,,,,,
"('SVHN_0', 0.1, 2)",,,,,,,
"('SVHN_0', 0.1, 3)",,,,,,,
"('SVHN_0', 0.25, 1)",,,,,,,
"('SVHN_0', 0.25, 2)",,,,,,,
"('SVHN_0', 0.25, 3)",,,,,,,
"('SVHN_0', 0.5, 1)",,,,,,,
"('SVHN_0', 0.5, 2)",,,,,,,
"('SVHN_0', 0.5, 3)",,,,,,,
"('SVHN_0', 0.75, 1)",,,,,,,
"('SVHN_0', 0.75, 2)",,,,,,,
"('SVHN_0', 0.75, 3)",,,,,,,
"('SVHN_0', 1.0, 1)",,,,,,,
"('SVHN_0', 1.0, 2)",,,,,,,
"('SVHN_0', 1.0, 3)",,,,,,,
"('26_optdigits', 0.0, 1)",,,,,,,
"('26_optdigits', 0.0, 2)",,,,,,,
"('26_optdigits', 0.0, 3)",,,,,,,
"('26_optdigits', 0.01, 1)",,,,,,,
"('26_optdigits', 0.01, 2)",,,,,,,
"('26_optdigits', 0.01, 3)",,,,,,,
"('26_optdigits', 0.05, 1)",,,,,,,
"('26_optdigits', 0.05, 2)",,,,,,,
"('26_optdigits', 0.05, 3)",,,,,,,
"('26_optdigits', 0.1, 1)",,,,,,,
"('26_optdigits', 0.1, 2)",,,,,,,
"('26_optdigits', 0.1, 3)",,,,,,,
"('26_optdigits', 0.25, 1)",,,,,,,
"('26_optdigits', 0.25, 2)",,,,,,,
"('26_optdigits', 0.25, 3)",,,,,,,
"('26_optdigits', 0.5, 1)",,,,,,,
"('26_optdigits', 0.5, 2)",,,,,,,
"('26_optdigits', 0.5, 3)",,,,,,,
"('26_optdigits', 0.75, 1)",,,,,,,
"('26_optdigits', 0.75, 2)",,,,,,,
"('26_optdigits', 0.75, 3)",,,,,,,
"('26_optdigits', 1.0, 1)",,,,,,,
"('26_optdigits', 1.0, 2)",,,,,,,
"('26_optdigits', 1.0, 3)",,,,,,,
"('CIFAR10_9', 0.0, 1)",,,,,,,
"('CIFAR10_9', 0.0, 2)",,,,,,,
"('CIFAR10_9', 0.0, 3)",,,,,,,
"('CIFAR10_9', 0.01, 1)",,,,,,,
"('CIFAR10_9', 0.01, 2)",,,,,,,
"('CIFAR10_9', 0.01, 3)",,,,,,,
"('CIFAR10_9', 0.05, 1)",,,,,,,
"('CIFAR10_9', 0.05, 2)",,,,,,,
"('CIFAR10_9', 0.05, 3)",,,,,,,
"('CIFAR10_9', 0.1, 1)",,,,,,,
"('CIFAR10_9', 0.1, 2)",,,,,,,
"('CIFAR10_9', 0.1, 3)",,,,,,,
"('CIFAR10_9', 0.25, 1)",,,,,,,
"('CIFAR10_9', 0.25, 2)",,,,,,,
"('CIFAR10_9', 0.25, 3)",,,,,,,
"('CIFAR10_9', 0.5, 1)",,,,,,,
"('CIFAR10_9', 0.5, 2)",,,,,,,
"('CIFAR10_9', 0.5, 3)",,,,,,,
"('CIFAR10_9', 0.75, 1)",,,,,,,
"('CIFAR10_9', 0.75, 2)",,,,,,,
"('CIFAR10_9', 0.75, 3)",,,,,,,
"('CIFAR10_9', 1.0, 1)",,,,,,,
"('CIFAR10_9', 1.0, 2)",,,,,,,
"('CIFAR10_9', 1.0, 3)",,,,,,,
"('CIFAR10_8', 0.0, 1)",,,,,,,
"('CIFAR10_8', 0.0, 2)",,,,,,,
"('CIFAR10_8', 0.0, 3)",,,,,,,
"('CIFAR10_8', 0.01, 1)",,,,,,,
"('CIFAR10_8', 0.01, 2)",,,,,,,
"('CIFAR10_8', 0.01, 3)",,,,,,,
"('CIFAR10_8', 0.05, 1)",,,,,,,
"('CIFAR10_8', 0.05, 2)",,,,,,,
"('CIFAR10_8', 0.05, 3)",,,,,,,
"('CIFAR10_8', 0.1, 1)",,,,,,,
"('CIFAR10_8', 0.1, 2)",,,,,,,
"('CIFAR10_8', 0.1, 3)",,,,,,,
"('CIFAR10_8', 0.25, 1)",,,,,,,
"('CIFAR10_8', 0.25, 2)",,,,,,,
"('CIFAR10_8', 0.25, 3)",,,,,,,
"('CIFAR10_8', 0.5, 1)",,,,,,,
"('CIFAR10_8', 0.5, 2)",,,,,,,
"('CIFAR10_8', 0.5, 3)",,,,,,,
"('CIFAR10_8', 0.75, 1)",,,,,,,
"('CIFAR10_8', 0.75, 2)",,,,,,,
"('CIFAR10_8', 0.75, 3)",,,,,,,
"('CIFAR10_8', 1.0, 1)",,,,,,,
"('CIFAR10_8', 1.0, 2)",,,,,,,
"('CIFAR10_8', 1.0, 3)",,,,,,,
"('CIFAR10_7', 0.0, 1)",,,,,,,
"('CIFAR10_7', 0.0, 2)",,,,,,,
"('CIFAR10_7', 0.0, 3)",,,,,,,
"('CIFAR10_7', 0.01, 1)",,,,,,,
"('CIFAR10_7', 0.01, 2)",,,,,,,
"('CIFAR10_7', 0.01, 3)",,,,,,,
"('CIFAR10_7', 0.05, 1)",,,,,,,
"('CIFAR10_7', 0.05, 2)",,,,,,,
"('CIFAR10_7', 0.05, 3)",,,,,,,
"('CIFAR10_7', 0.1, 1)",,,,,,,
"('CIFAR10_7', 0.1, 2)",,,,,,,
"('CIFAR10_7', 0.1, 3)",,,,,,,
"('CIFAR10_7', 0.25, 1)",,,,,,,
"('CIFAR10_7', 0.25, 2)",,,,,,,
"('CIFAR10_7', 0.25, 3)",,,,,,,
"('CIFAR10_7', 0.5, 1)",,,,,,,
"('CIFAR10_7', 0.5, 2)",,,,,,,
"('CIFAR10_7', 0.5, 3)",,,,,,,
"('CIFAR10_7', 0.75, 1)",,,,,,,
"('CIFAR10_7', 0.75, 2)",,,,,,,
"('CIFAR10_7', 0.75, 3)",,,,,,,
"('CIFAR10_7', 1.0, 1)",,,,,,,
"('CIFAR10_7', 1.0, 2)",,,,,,,
"('CIFAR10_7', 1.0, 3)",,,,,,,
"('CIFAR10_6', 0.0, 1)",,,,,,,
"('CIFAR10_6', 0.0, 2)",,,,,,,
"('CIFAR10_6', 0.0, 3)",,,,,,,
"('CIFAR10_6', 0.01, 1)",,,,,,,
"('CIFAR10_6', 0.01, 2)",,,,,,,
"('CIFAR10_6', 0.01, 3)",,,,,,,
"('CIFAR10_6', 0.05, 1)",,,,,,,
"('CIFAR10_6', 0.05, 2)",,,,,,,
"('CIFAR10_6', 0.05, 3)",,,,,,,
"('CIFAR10_6', 0.1, 1)",,,,,,,
"('CIFAR10_6', 0.1, 2)",,,,,,,
"('CIFAR10_6', 0.1, 3)",,,,,,,
"('CIFAR10_6', 0.25, 1)",,,,,,,
"('CIFAR10_6', 0.25, 2)",,,,,,,
"('CIFAR10_6', 0.25, 3)",,,,,,,
"('CIFAR10_6', 0.5, 1)",,,,,,,
"('CIFAR10_6', 0.5, 2)",,,,,,,
"('CIFAR10_6', 0.5, 3)",,,,,,,
"('CIFAR10_6', 0.75, 1)",,,,,,,
"('CIFAR10_6', 0.75, 2)",,,,,,,
"('CIFAR10_6', 0.75, 3)",,,,,,,
"('CIFAR10_6', 1.0, 1)",,,,,,,
"('CIFAR10_6', 1.0, 2)",,,,,,,
"('CIFAR10_6', 1.0, 3)",,,,,,,
"('CIFAR10_3', 0.0, 1)",,,,,,,
"('CIFAR10_3', 0.0, 2)",,,,,,,
"('CIFAR10_3', 0.0, 3)",,,,,,,
"('CIFAR10_3', 0.01, 1)",,,,,,,
"('CIFAR10_3', 0.01, 2)",,,,,,,
"('CIFAR10_3', 0.01, 3)",,,,,,,
"('CIFAR10_3', 0.05, 1)",,,,,,,
"('CIFAR10_3', 0.05, 2)",,,,,,,
"('CIFAR10_3', 0.05, 3)",,,,,,,
"('CIFAR10_3', 0.1, 1)",,,,,,,
"('CIFAR10_3', 0.1, 2)",,,,,,,
"('CIFAR10_3', 0.1, 3)",,,,,,,
"('CIFAR10_3', 0.25, 1)",,,,,,,
"('CIFAR10_3', 0.25, 2)",,,,,,,
"('CIFAR10_3', 0.25, 3)",,,,,,,
"('CIFAR10_3', 0.5, 1)",,,,,,,
"('CIFAR10_3', 0.5, 2)",,,,,,,
"('CIFAR10_3', 0.5, 3)",,,,,,,
"('CIFAR10_3', 0.75, 1)",,,,,,,
"('CIFAR10_3', 0.75, 2)",,,,,,,
"('CIFAR10_3', 0.75, 3)",,,,,,,
"('CIFAR10_3', 1.0, 1)",,,,,,,
"('CIFAR10_3', 1.0, 2)",,,,,,,
"('CIFAR10_3', 1.0, 3)",,,,,,,
"('CIFAR10_4', 0.0, 1)",,,,,,,
"('CIFAR10_4', 0.0, 2)",,,,,,,
"('CIFAR10_4', 0.0, 3)",,,,,,,
"('CIFAR10_4', 0.01, 1)",,,,,,,
"('CIFAR10_4', 0.01, 2)",,,,,,,
"('CIFAR10_4', 0.01, 3)",,,,,,,
"('CIFAR10_4', 0.05, 1)",,,,,,,
"('CIFAR10_4', 0.05, 2)",,,,,,,
"('CIFAR10_4', 0.05, 3)",,,,,,,
"('CIFAR10_4', 0.1, 1)",,,,,,,
"('CIFAR10_4', 0.1, 2)",,,,,,,
"('CIFAR10_4', 0.1, 3)",,,,,,,
"('CIFAR10_4', 0.25, 1)",,,,,,,
"('CIFAR10_4', 0.25, 2)",,,,,,,
"('CIFAR10_4', 0.25, 3)",,,,,,,
"('CIFAR10_4', 0.5, 1)",,,,,,,
"('CIFAR10_4', 0.5, 2)",,,,,,,
"('CIFAR10_4', 0.5, 3)",,,,,,,
"('CIFAR10_4', 0.75, 1)",,,,,,,
"('CIFAR10_4', 0.75, 2)",,,,,,,
"('CIFAR10_4', 0.75, 3)",,,,,,,
"('CIFAR10_4', 1.0, 1)",,,,,,,
"('CIFAR10_4', 1.0, 2)",,,,,,,
"('CIFAR10_4', 1.0, 3)",,,,,,,
"('CIFAR10_2', 0.0, 1)",,,,,,,
"('CIFAR10_2', 0.0, 2)",,,,,,,
"('CIFAR10_2', 0.0, 3)",,,,,,,
"('CIFAR10_2', 0.01, 1)",,,,,,,
"('CIFAR10_2', 0.01, 2)",,,,,,,
"('CIFAR10_2', 0.01, 3)",,,,,,,
"('CIFAR10_2', 0.05, 1)",,,,,,,
"('CIFAR10_2', 0.05, 2)",,,,,,,
"('CIFAR10_2', 0.05, 3)",,,,,,,
"('CIFAR10_2', 0.1, 1)",,,,,,,
"('CIFAR10_2', 0.1, 2)",,,,,,,
"('CIFAR10_2', 0.1, 3)",,,,,,,
"('CIFAR10_2', 0.25, 1)",,,,,,,
"('CIFAR10_2', 0.25, 2)",,,,,,,
"('CIFAR10_2', 0.25, 3)",,,,,,,
"('CIFAR10_2', 0.5, 1)",,,,,,,
"('CIFAR10_2', 0.5, 2)",,,,,,,
"('CIFAR10_2', 0.5, 3)",,,,,,,
"('CIFAR10_2', 0.75, 1)",,,,,,,
"('CIFAR10_2', 0.75, 2)",,,,,,,
"('CIFAR10_2', 0.75, 3)",,,,,,,
"('CIFAR10_2', 1.0, 1)",,,,,,,
"('CIFAR10_2', 1.0, 2)",,,,,,,
"('CIFAR10_2', 1.0, 3)",,,,,,,
"('CIFAR10_1', 0.0, 1)",,,,,,,
"('CIFAR10_1', 0.0, 2)",,,,,,,
"('CIFAR10_1', 0.0, 3)",,,,,,,
"('CIFAR10_1', 0.01, 1)",,,,,,,
"('CIFAR10_1', 0.01, 2)",,,,,,,
"('CIFAR10_1', 0.01, 3)",,,,,,,
"('CIFAR10_1', 0.05, 1)",,,,,,,
"('CIFAR10_1', 0.05, 2)",,,,,,,
"('CIFAR10_1', 0.05, 3)",,,,,,,
"('CIFAR10_1', 0.1, 1)",,,,,,,
"('CIFAR10_1', 0.1, 2)",,,,,,,
"('CIFAR10_1', 0.1, 3)",,,,,,,
"('CIFAR10_1', 0.25, 1)",,,,,,,
"('CIFAR10_1', 0.25, 2)",,,,,,,
"('CIFAR10_1', 0.25, 3)",,,,,,,
"('CIFAR10_1', 0.5, 1)",,,,,,,
"('CIFAR10_1', 0.5, 2)",,,,,,,
"('CIFAR10_1', 0.5, 3)",,,,,,,
"('CIFAR10_1', 0.75, 1)",,,,,,,
"('CIFAR10_1', 0.75, 2)",,,,,,,
"('CIFAR10_1', 0.75, 3)",,,,,,,
"('CIFAR10_1', 1.0, 1)",,,,,,,
"('CIFAR10_1', 1.0, 2)",,,,,,,
"('CIFAR10_1', 1.0, 3)",,,,,,,
"('CIFAR10_0', 0.0, 1)",,,,,,,
"('CIFAR10_0', 0.0, 2)",,,,,,,
"('CIFAR10_0', 0.0, 3)",,,,,,,
"('CIFAR10_0', 0.01, 1)",,,,,,,
"('CIFAR10_0', 0.01, 2)",,,,,,,
"('CIFAR10_0', 0.01, 3)",,,,,,,
"('CIFAR10_0', 0.05, 1)",,,,,,,
"('CIFAR10_0', 0.05, 2)",,,,,,,
"('CIFAR10_0', 0.05, 3)",,,,,,,
"('CIFAR10_0', 0.1, 1)",,,,,,,
"('CIFAR10_0', 0.1, 2)",,,,,,,
"('CIFAR10_0', 0.1, 3)",,,,,,,
"('CIFAR10_0', 0.25, 1)",,,,,,,
"('CIFAR10_0', 0.25, 2)",,,,,,,
"('CIFAR10_0', 0.25, 3)",,,,,,,
"('CIFAR10_0', 0.5, 1)",,,,,,,
"('CIFAR10_0', 0.5, 2)",,,,,,,
"('CIFAR10_0', 0.5, 3)",,,,,,,
"('CIFAR10_0', 0.75, 1)",,,,,,,
"('CIFAR10_0', 0.75, 2)",,,,,,,
"('CIFAR10_0', 0.75, 3)",,,,,,,
"('CIFAR10_0', 1.0, 1)",,,,,,,
"('CIFAR10_0', 1.0, 2)",,,,,,,
"('CIFAR10_0', 1.0, 3)",,,,,,,
"('CIFAR10_5', 0.0, 1)",,,,,,,
"('CIFAR10_5', 0.0, 2)",,,,,,,
"('CIFAR10_5', 0.0, 3)",,,,,,,
"('CIFAR10_5', 0.01, 1)",,,,,,,
"('CIFAR10_5', 0.01, 2)",,,,,,,
"('CIFAR10_5', 0.01, 3)",,,,,,,
"('CIFAR10_5', 0.05, 1)",,,,,,,
"('CIFAR10_5', 0.05, 2)",,,,,,,
"('CIFAR10_5', 0.05, 3)",,,,,,,
"('CIFAR10_5', 0.1, 1)",,,,,,,
"('CIFAR10_5', 0.1, 2)",,,,,,,
"('CIFAR10_5', 0.1, 3)",,,,,,,
"('CIFAR10_5', 0.25, 1)",,,,,,,
"('CIFAR10_5', 0.25, 2)",,,,,,,
"('CIFAR10_5', 0.25, 3)",,,,,,,
"('CIFAR10_5', 0.5, 1)",,,,,,,
"('CIFAR10_5', 0.5, 2)",,,,,,,
"('CIFAR10_5', 0.5, 3)",,,,,,,
"('CIFAR10_5', 0.75, 1)",,,,,,,
"('CIFAR10_5', 0.75, 2)",,,,,,,
"('CIFAR10_5', 0.75, 3)",,,,,,,
"('CIFAR10_5', 1.0, 1)",,,,,,,
"('CIFAR10_5', 1.0, 2)",,,,,,,
"('CIFAR10_5', 1.0, 3)",,,,,,,
"('SVHN_8', 0.0, 1)",,,,,,,
"('SVHN_8', 0.0, 2)",,,,,,,
"('SVHN_8', 0.0, 3)",,,,,,,
"('SVHN_8', 0.01, 1)",,,,,,,
"('SVHN_8', 0.01, 2)",,,,,,,
"('SVHN_8', 0.01, 3)",,,,,,,
"('SVHN_8', 0.05, 1)",,,,,,,
"('SVHN_8', 0.05, 2)",,,,,,,
"('SVHN_8', 0.05, 3)",,,,,,,
"('SVHN_8', 0.1, 1)",,,,,,,
"('SVHN_8', 0.1, 2)",,,,,,,
"('SVHN_8', 0.1, 3)",,,,,,,
"('SVHN_8', 0.25, 1)",,,,,,,
"('SVHN_8', 0.25, 2)",,,,,,,
"('SVHN_8', 0.25, 3)",,,,,,,
"('SVHN_8', 0.5, 1)",,,,,,,
"('SVHN_8', 0.5, 2)",,,,,,,
"('SVHN_8', 0.5, 3)",,,,,,,
"('SVHN_8', 0.75, 1)",,,,,,,
"('SVHN_8', 0.75, 2)",,,,,,,
"('SVHN_8', 0.75, 3)",,,,,,,
"('SVHN_8', 1.0, 1)",,,,,,,
"('SVHN_8', 1.0, 2)",,,,,,,
"('SVHN_8', 1.0, 3)",,,,,,,
"('27_PageBlocks', 0.0, 1)",,,,,,,
"('27_PageBlocks', 0.0, 2)",,,,,,,
"('27_PageBlocks', 0.0, 3)",,,,,,,
"('27_PageBlocks', 0.01, 1)",,,,,,,
"('27_PageBlocks', 0.01, 2)",,,,,,,
"('27_PageBlocks', 0.01, 3)",,,,,,,
"('27_PageBlocks', 0.05, 1)",,,,,,,
"('27_PageBlocks', 0.05, 2)",,,,,,,
"('27_PageBlocks', 0.05, 3)",,,,,,,
"('27_PageBlocks', 0.1, 1)",,,,,,,
"('27_PageBlocks', 0.1, 2)",,,,,,,
"('27_PageBlocks', 0.1, 3)",,,,,,,
"('27_PageBlocks', 0.25, 1)",,,,,,,
"('27_PageBlocks', 0.25, 2)",,,,,,,
"('27_PageBlocks', 0.25, 3)",,,,,,,
"('27_PageBlocks', 0.5, 1)",,,,,,,
"('27_PageBlocks', 0.5, 2)",,,,,,,
"('27_PageBlocks', 0.5, 3)",,,,,,,
"('27_PageBlocks', 0.75, 1)",,,,,,,
"('27_PageBlocks', 0.75, 2)",,,,,,,
"('27_PageBlocks', 0.75, 3)",,,,,,,
"('27_PageBlocks', 1.0, 1)",,,,,,,
"('27_PageBlocks', 1.0, 2)",,,,,,,
"('27_PageBlocks', 1.0, 3)",,,,,,,
"('31_satimage-2', 0.0, 1)",,,,,,,
"('31_satimage-2', 0.0, 2)",,,,,,,
"('31_satimage-2', 0.0, 3)",,,,,,,
"('31_satimage-2', 0.01, 1)",,,,,,,
"('31_satimage-2', 0.01, 2)",,,,,,,
"('31_satimage-2', 0.01, 3)",,,,,,,
"('31_satimage-2', 0.05, 1)",,,,,,,
"('31_satimage-2', 0.05, 2)",,,,,,,
"('31_satimage-2', 0.05, 3)",,,,,,,
"('31_satimage-2', 0.1, 1)",,,,,,,
"('31_satimage-2', 0.1, 2)",,,,,,,
"('31_satimage-2', 0.1, 3)",,,,,,,
"('31_satimage-2', 0.25, 1)",,,,,,,
"('31_satimage-2', 0.25, 2)",,,,,,,
"('31_satimage-2', 0.25, 3)",,,,,,,
"('31_satimage-2', 0.5, 1)",,,,,,,
"('31_satimage-2', 0.5, 2)",,,,,,,
"('31_satimage-2', 0.5, 3)",,,,,,,
"('31_satimage-2', 0.75, 1)",,,,,,,
"('31_satimage-2', 0.75, 2)",,,,,,,
"('31_satimage-2', 0.75, 3)",,,,,,,
"('31_satimage-2', 1.0, 1)",,,,,,,
"('31_satimage-2', 1.0, 2)",,,,,,,
"('31_satimage-2', 1.0, 3)",,,,,,,
"('SVHN_7', 0.0, 1)",,,,,,,
"('SVHN_7', 0.0, 2)",,,,,,,
"('SVHN_7', 0.0, 3)",,,,,,,
"('SVHN_7', 0.01, 1)",,,,,,,
"('SVHN_7', 0.01, 2)",,,,,,,
"('SVHN_7', 0.01, 3)",,,,,,,
"('SVHN_7', 0.05, 1)",,,,,,,
"('SVHN_7', 0.05, 2)",,,,,,,
"('SVHN_7', 0.05, 3)",,,,,,,
"('SVHN_7', 0.1, 1)",,,,,,,
"('SVHN_7', 0.1, 2)",,,,,,,
"('SVHN_7', 0.1, 3)",,,,,,,
"('SVHN_7', 0.25, 1)",,,,,,,
"('SVHN_7', 0.25, 2)",,,,,,,
"('SVHN_7', 0.25, 3)",,,,,,,
"('SVHN_7', 0.5, 1)",,,,,,,
"('SVHN_7', 0.5, 2)",,,,,,,
"('SVHN_7', 0.5, 3)",,,,,,,
"('SVHN_7', 0.75, 1)",,,,,,,
"('SVHN_7', 0.75, 2)",,,,,,,
"('SVHN_7', 0.75, 3)",,,,,,,
"('SVHN_7', 1.0, 1)",,,,,,,
"('SVHN_7', 1.0, 2)",,,,,,,
"('SVHN_7', 1.0, 3)",,,,,,,
"('SVHN_6', 0.0, 1)",,,,,,,
"('SVHN_6', 0.0, 2)",,,,,,,
"('SVHN_6', 0.0, 3)",,,,,,,
"('SVHN_6', 0.01, 1)",,,,,,,
"('SVHN_6', 0.01, 2)",,,,,,,
"('SVHN_6', 0.01, 3)",,,,,,,
"('SVHN_6', 0.05, 1)",,,,,,,
"('SVHN_6', 0.05, 2)",,,,,,,
"('SVHN_6', 0.05, 3)",,,,,,,
"('SVHN_6', 0.1, 1)",,,,,,,
"('SVHN_6', 0.1, 2)",,,,,,,
"('SVHN_6', 0.1, 3)",,,,,,,
"('SVHN_6', 0.25, 1)",,,,,,,
"('SVHN_6', 0.25, 2)",,,,,,,
"('SVHN_6', 0.25, 3)",,,,,,,
"('SVHN_6', 0.5, 1)",,,,,,,
"('SVHN_6', 0.5, 2)",,,,,,,
"('SVHN_6', 0.5, 3)",,,,,,,
"('SVHN_6', 0.75, 1)",,,,,,,
"('SVHN_6', 0.75, 2)",,,,,,,
"('SVHN_6', 0.75, 3)",,,,,,,
"('SVHN_6', 1.0, 1)",,,,,,,
"('SVHN_6', 1.0, 2)",,,,,,,
"('SVHN_6', 1.0, 3)",,,,,,,
"('FashionMNIST_9', 0.0, 1)",,,,,,,
"('FashionMNIST_9', 0.0, 2)",,,,,,,
"('FashionMNIST_9', 0.0, 3)",,,,,,,
"('FashionMNIST_9', 0.01, 1)",,,,,,,
"('FashionMNIST_9', 0.01, 2)",,,,,,,
"('FashionMNIST_9', 0.01, 3)",,,,,,,
"('FashionMNIST_9', 0.05, 1)",,,,,,,
"('FashionMNIST_9', 0.05, 2)",,,,,,,
"('FashionMNIST_9', 0.05, 3)",,,,,,,
"('FashionMNIST_9', 0.1, 1)",,,,,,,
"('FashionMNIST_9', 0.1, 2)",,,,,,,
"('FashionMNIST_9', 0.1, 3)",,,,,,,
"('FashionMNIST_9', 0.25, 1)",,,,,,,
"('FashionMNIST_9', 0.25, 2)",,,,,,,
"('FashionMNIST_9', 0.25, 3)",,,,,,,
"('FashionMNIST_9', 0.5, 1)",,,,,,,
"('FashionMNIST_9', 0.5, 2)",,,,,,,
"('FashionMNIST_9', 0.5, 3)",,,,,,,
"('FashionMNIST_9', 0.75, 1)",,,,,,,
"('FashionMNIST_9', 0.75, 2)",,,,,,,
"('FashionMNIST_9', 0.75, 3)",,,,,,,
"('FashionMNIST_9', 1.0, 1)",,,,,,,
"('FashionMNIST_9', 1.0, 2)",,,,,,,
"('FashionMNIST_9', 1.0, 3)",,,,,,,
"('FashionMNIST_5', 0.0, 1)",,,,,,,
"('FashionMNIST_5', 0.0, 2)",,,,,,,
"('FashionMNIST_5', 0.0, 3)",,,,,,,
"('FashionMNIST_5', 0.01, 1)",,,,,,,
"('FashionMNIST_5', 0.01, 2)",,,,,,,
"('FashionMNIST_5', 0.01, 3)",,,,,,,
"('FashionMNIST_5', 0.05, 1)",,,,,,,
"('FashionMNIST_5', 0.05, 2)",,,,,,,
"('FashionMNIST_5', 0.05, 3)",,,,,,,
"('FashionMNIST_5', 0.1, 1)",,,,,,,
"('FashionMNIST_5', 0.1, 2)",,,,,,,
"('FashionMNIST_5', 0.1, 3)",,,,,,,
"('FashionMNIST_5', 0.25, 1)",,,,,,,
"('FashionMNIST_5', 0.25, 2)",,,,,,,
"('FashionMNIST_5', 0.25, 3)",,,,,,,
"('FashionMNIST_5', 0.5, 1)",,,,,,,
"('FashionMNIST_5', 0.5, 2)",,,,,,,
"('FashionMNIST_5', 0.5, 3)",,,,,,,
"('FashionMNIST_5', 0.75, 1)",,,,,,,
"('FashionMNIST_5', 0.75, 2)",,,,,,,
"('FashionMNIST_5', 0.75, 3)",,,,,,,
"('FashionMNIST_5', 1.0, 1)",,,,,,,
"('FashionMNIST_5', 1.0, 2)",,,,,,,
"('FashionMNIST_5', 1.0, 3)",,,,,,,
"('FashionMNIST_7', 0.0, 1)",,,,,,,
"('FashionMNIST_7', 0.0, 2)",,,,,,,
"('FashionMNIST_7', 0.0, 3)",,,,,,,
"('FashionMNIST_7', 0.01, 1)",,,,,,,
"('FashionMNIST_7', 0.01, 2)",,,,,,,
"('FashionMNIST_7', 0.01, 3)",,,,,,,
"('FashionMNIST_7', 0.05, 1)",,,,,,,
